county_name,state_name,Value
GLENN,CALIFORNIA,1753.8999999999999
SURRY,VIRGINIA,1754.1
CASS,INDIANA,1758.8
FRESNO,CALIFORNIA,1762.2
KNOX,OHIO,1766.0
HOLMES,OHIO,1766.6
DUBOIS,INDIANA,1766.9
BROWN,WISCONSIN,1767.3
OTTAWA,MICHIGAN,1767.5
MADISON,IDAHO,1769.4
MEADE,KENTUCKY,1770.3
CARROLL,INDIANA,1774.3
CECIL,MARYLAND,1779.3
SHENANDOAH,VIRGINIA,1780.6
MADISON,TENNESSEE,1785.2
TALBOT,MARYLAND,1788.3
CALLOWAY,KENTUCKY,1789.4
WEAKLEY,TENNESSEE,1789.6
FRANKLIN,OHIO,1791.3
ADAMS,WASHINGTON,1792.9
WAYNE,KENTUCKY,1796.4
COLUMBIANA,OHIO,1797.2
CHARLES CITY,VIRGINIA,1800.9
LOUDOUN,VIRGINIA,1803.6
KING AND QUEEN,VIRGINIA,1805.2
BALLARD,KENTUCKY,1805.7
SUMNER,TENNESSEE,1808.2
SHELBY,KENTUCKY,1808.4
MODOC,CALIFORNIA,1809.6
SACRAMENTO,CALIFORNIA,1811.4
LINCOLN,TENNESSEE,1811.5
MASON,MICHIGAN,1811.9
BARREN,KENTUCKY,1814.8
CARROLL,TENNESSEE,1817.3
CROCKETT,TENNESSEE,1817.4
FRANKLIN,INDIANA,1820.9
GRAVES,KENTUCKY,1822.1
DELAWARE,INDIANA,1825.5
DORCHESTER,MARYLAND,1826.8
LA PORTE,INDIANA,1827.0
SUSSEX,VIRGINIA,1831.8
CALHOUN,MICHIGAN,1834.2
MONTGOMERY,TENNESSEE,1835.5
HENRY,TENNESSEE,1838.9
WAYNE,OHIO,1851.2
GIBSON,TENNESSEE,1852.4
STANISLAUS,CALIFORNIA,1855.5
ROCK,WISCONSIN,1858.0
CLINTON,OHIO,1861.8
DOOR,WISCONSIN,1862.0
HAYWOOD,TENNESSEE,1864.1
COSHOCTON,OHIO,1866.6
CLINTON,INDIANA,1868.8
ALLEGAN,MICHIGAN,1870.1
WHITE,INDIANA,1870.5
DAVIESS,INDIANA,1871.2
PORTAGE,OHIO,1874.6
KNOX,INDIANA,1877.5
HIGHLAND,OHIO,1877.9
MCLEAN,KENTUCKY,1880.6
MONTGOMERY,OHIO,1880.9
TULARE,CALIFORNIA,1886.2
SENECA,OHIO,1887.0
YAKIMA,WASHINGTON,1888.1
JACKSON,MICHIGAN,1894.2
OUTAGAMIE,WISCONSIN,1895.6
FULTON,KENTUCKY,1899.5
MORROW,OHIO,1899.8
HICKMAN,KENTUCKY,1901.8
GREEN,WISCONSIN,1903.0
HANOVER,VIRGINIA,1906.8
TRUMBULL,OHIO,1907.1
WINNEBAGO,WISCONSIN,1911.2
HUNTINGTON,INDIANA,1913.3
WASHINGTON,MARYLAND,1915.8
BARRY,MICHIGAN,1917.4
CAROLINE,VIRGINIA,1923.5
GEM,IDAHO,1924.5
HARDIN,OHIO,1925.8
